"YEAR","BOLE_CF_ACRE","SAW_CF_ACRE","SAW_MBF_ACRE","BOLE_CF_TOTAL","SAW_CF_TOTAL","SAW_MBF_TOTAL","AREA_TOTAL","BOLE_CF_ACRE_VAR","SAW_CF_ACRE_VAR","SAW_MBF_ACRE_VAR","BOLE_CF_TOTAL_VAR","SAW_CF_TOTAL_VAR","SAW_MBF_TOTAL_VAR","AREA_TOTAL_VAR","nPlots_TREE","nPlots_AREA","N"
1999,1115.02535588362,465.085609695933,2.0976226848123,1654904012.66079,690273129.355568,3113260.32168411,1484185.09402357,14365.9736991094,5324.94019353188,0.124789387518493,33001548186907788,12067021277453716,280904068900.782,4432471991.79705,47,49,682
2000,1069.2332984211,442.439412002224,1.97007403614319,1506010282.40547,623173917.984696,2774840.40191498,1408495.49357408,14016.1166431391,5760.54382000663,0.124010080855063,36165909870728040,12709590130626186,271919024021.417,4710666168.76157,54,54,690
2001,1083.74468697266,403.331828020861,1.78250012446825,1407697994.42756,523895906.682394,2315325.63014461,1298920.3189174,9800.92843497426,3326.03749870675,0.0713764420503023,22017001346059760,6031300209442466,127465217676.363,5152004662.11712,48,49,670
2002,1011.93898634013,406.08314190757,1.89639894249875,1518113728.65136,609207077.724498,2844983.05576658,1500202.8275854,16708.0917625024,7669.21247892108,0.191861989332191,39586426965806688,17710037104931590,441487791935.445,3778039021.8221,55,56,667
2003,1173.40483985099,432.635674916739,1.94065497847999,1722191686.8293,634973998.2852,2848275.17105395,1467687.56045696,12982.5551180431,3263.8274667865,0.070418178585672,32663747356477036,7458018007433174,160286636328.005,3780834205.95533,54,55,663
2004,1075.8267489971,430.471539465034,1.91162122143613,1583481662.69641,633599963.647504,2813666.004296,1471874.22526215,12955.8160862308,4997.34404738036,0.113654574768359,30991069030843912,11257853374636772,252942710643.041,4547854103.30211,47,48,686
2005,1045.13489549816,423.663559155145,1.90040608496704,1456774693.71829,590528891.807462,2648905.42292022,1393862.84009197,11701.6519273111,4240.40209328499,0.0999418368638602,29156926185556540,9336151992167286,215130614211.299,5114116246.81979,50,50,668
2006,1101.4623027302,440.080655473433,1.92335823961795,1578590465.55892,630713484.324708,2756512.83878645,1433177.02443929,9377.59542134191,3290.13170053947,0.0652175251046641,20155037959356932,6749329323258392,133478632021.147,3023136371.59171,48,49,663
2007,1123.92138038437,431.129946306829,1.9761367561803,1692059155.79692,649064414.752236,2975066.00529138,1505496.01184582,12657.2920598338,6736.09526265416,0.156101336323679,29483205371706592,15414887329839566,356960457117.433,3258169612.35063,55,55,667
2008,1238.35557889756,537.927377391039,2.4623768665543,1784437938.23545,775139254.499595,3548220.53842122,1440973.79512275,13533.731255554,4026.14872406716,0.0897003572480771,30097051135022544,8539689756009101,188603898638.269,3077903248.34471,56,56,683
2009,1119.76421797385,437.603995888064,1.98541754220131,1681509267.03249,657134031.044213,2981429.43179698,1501663.68958912,11776.9039317668,5109.04300381003,0.123264642194207,26812690381703368,11631196015142428,280236124767.156,2366454353.88026,51,51,685
2010,1140.58507449379,473.209113868224,2.1245583255599,1616100103.20872,670492113.971558,3010296.21199818,1416904.48117251,12524.9196201942,5544.92494718351,0.121559603538272,24621080394973636,10892152465847664,238866959798.33,1856647700.78405,51,51,681
2011,1130.04545869384,458.607345477624,1.99780100109321,1601024542.95023,649745202.759897,2830442.27121426,1416778.88321481,11805.5904236484,4718.07227991625,0.0916978919671184,25365453285117184,8802834106909851,171084867207.126,3816041148.0931,49,50,675
2012,1292.26802331813,526.32055333962,2.43920496358611,1848360754.115,752808424.663428,3488851.10873409,1430323.06051263,16106.6472524463,9689.45598249295,0.232751224476179,35159814998148248,20223472128309020,485362000807.829,2826291936.01384,55,55,667
2013,1180.88125268479,485.398614509465,2.22732070706433,1729952459.75673,711093113.913037,3262952.07675852,1464967.33335684,15062.5988424218,4930.41214682735,0.109753939033379,35260970192262360,11029383121970090,243987488424.909,3455378413.77322,56,56,680
2014,1202.40073070027,435.773718753204,1.97439662555941,1831148938.1165,663644458.939476,3006829.74652581,1522910.69970497,9697.26530695395,3991.05447537672,0.0834972848534405,24480588673991140,9935572044468408,206980533764.745,2927698804.79405,50,50,683
2015,1253.07285122005,495.477790894428,2.2383015514903,1773017012.6412,701069017.484788,3167051.88078215,1414935.30157877,11665.910893631,6141.02768102455,0.137405124085923,23160705454635548,12261863620355730,273545906809.014,3146543370.37443,51,51,680
2016,1310.90932063347,602.799869657465,2.64726745240769,1906574567.29886,876706636.05063,3850161.65356088,1454390.88523495,11006.1664945746,6515.1284234163,0.132972238680838,31172395864150960,13981888380688232,279224143752.404,4173162681.77369,49,49,663
2017,1296.11485118464,481.744858047342,2.23258228864728,1848887042.57517,687201311.717754,3184742.81904109,1426483.95771818,17236.3681483107,8656.22818262124,0.209776658273381,47754681289648528,19807379111666780,478492085917.758,6584803286.86019,56,56,673
2018,1256.32566633405,499.908567433331,2.30724813725284,1766381308.94895,702866440.892154,3243967.78157283,1405989.988331,13358.5593012897,5031.39379489155,0.118017958806709,32463414656215552,11040158300193408,255078815734.387,2337049450.06176,56,56,676
2019,1285.06871358164,502.904833616,2.28270643146675,1769043454.58586,692305784.729895,3142405.40497817,1376613.90078926,12804.1162968058,5725.70273055185,0.125426985670389,25024724270147272,11228444947763916,245374498817.869,1683801290.7286,51,51,688
